#
alan,arkin,328232322,computernetworks,81
alan,arkin,328232322,csfundamentals,57
kim,basinger,987898980,csfundamentals,82
sandra,bulloc,707022000,clanguage,58
sandra,bulloc,707022000,csfundamentals,77
jim,carrey,006685034,computernetworks,78
jim,carrey,006685034,csfundamentals,98
jim,carrey,606685034,clanguage,82
yedid,cohen,208208208,computernetworks,98
tami,corach,543543545,clanguage,80
penelope,cruz,303913011,clanguage,99
penelope,cruz,303913011,computernetworks,99
penelope,cruz,303913011,csfundamentals,99
tony,curtis,595055022,clanguage,38
tony,curtis,595055022,computernetworks,25
danny,devito,185414152,clanguage,69
morgan,freeman,757365759,computernetworks,45
whoopi,goldberg,507555555,clanguage,49
tom,hanks,575871591,clanguage,79
tom,hanks,575871591,csfundamentals,72
anthony,hopkins,289328280,computernetworks,88
holly,hunter,409904655,clanguage,97
holly,hunter,409904655,computernetworks,81
holly,hunter,409904655,csfundamentals,70
angelina,jolie,300004530,clanguage,95
angelina,jolie,300004530,computernetworks,18
angelina,jolie,300004530,csfundamentals,0
grace,kelly,912792939,clanguage,89
grace,kelly,912792939,computernetworks,89
grace,kelly,912792939,csfundamentals,76
nicole,kidman,191149194,clanguage,29
nicole,kidman,191149194,computernetworks,87
nicole,kidman,191149194,csfundamentals,37
yedid,levi,432554665,csfundamentals,90
sophia,loren,616521611,clanguage,95
john,malkovich,161256146,clanguage,49
john,malkovich,161256146,computernetworks,68
john,malkovich,161256146,csfundamentals,83
demi,moore,373939467,clanguage,9
demi,moore,373939467,computernetworks,86
demi,moore,373939467,csfundamentals,74
jack,nicholson,949784994,clanguage,99
yedid,tzaiger,535354535,clanguage,80
